specobjid,ra,dec,z
435847538810054656,0.00072382504,1.0463218,0.003555052
1732892772035225600,0.00269,0.69933498,0.08071315
1732894146424760320,0.0042829998,0.75532597,0.08157199
1228490987471398912,0.004314,0.5413,0.0956312
6879285369792819200,0.00512840760001154,20.442662,0.07288966
844559382925568000,0.005787621,15.509806,0.1750241
1732895795692201984,0.0072570001,0.73145503,0.0814369
6946961409339748352,0.00736736509998082,19.547276,0.09049753
4836977142728945664,0.00772004330002574,0.71926798,0.08213079
844550311954638848,0.0083286187,15.697181,0.08340041
844551136588359680,0.0087588679,15.881756,0.02001684
4970979028422553600,0.00957345739999482,5.2882663,0.169365
845638828734572544,0.010059702,14.821971,0.1568754
844558833169754112,0.010741462,15.041193,0.1481263
844472796384880640,0.011762106,14.715548,0.06258312
771370940641601536,0.012351229,0.71799316,0.08243899
1228494286006282240,0.013128,0.35925,2.523268E-05
6954848756471361536,0.0133962799999949,14.87289,5.874615E-05
6960491173958578176,0.0142427659999953,11.875696,0.0002291874
844450256396511232,0.014434598,14.198225,0.1145558
1732904866663131136,0.014618,0.90212202,0.08032745
7330976845489958912,0.0151603439999803,28.634135,0.1419095
844561581948823552,0.016064368,14.997595,9.909705E-05
7742945435664969728,0.0166151000000241,26.279124,0.07329106
435845889542612992,0.01979171,0.78170108,0.08038615
1732894696180574208,0.020032,0.70725101,0.08255777
1676588981405378560,0.020501,0.835504,4.464366E-05
844558008536033280,0.020953406,15.157237,0.004036344
1732904591785224192,0.021381,1.227814,0.1616413
771358021379975168,0.023387419,1.116467,3.042468E-05
844474445652322304,0.023755986,14.412441,0.1714089
6960412283999285248,0.0239158300000213,10.624461,0.1709902
6911900181747920896,0.0248192509999967,15.429902,0.1735107
844548662687197184,0.025454582,15.875382,0.1567281
6960411459365564416,0.0261610960000098,10.591971,2.882593E-05
1676607398225143808,0.026265,0.146661,1.230536E-05
5106058980183699456,0.0273986639999748,7.0796931,0.1288346
1732896895203829760,0.027655,0.74514598,0.08169543
435859358560053248,0.027802144,0.50462729,0.1091058
7330766838769053696,0.0291297879999775,27.66454,0.1134865
435845339786799104,0.029681851,0.8578721,0.08151472
6911902930526990336,0.0301063210000052,15.853937,0.150673
4970997445242318848,0.0302232849999768,6.3855962,0.09484879
844448057373255680,0.030643489,13.910188,0.1045369
844546463663941632,0.030696712,15.855331,0.1514044
844547563175569408,0.031620779,15.902059,0.1524596
844547838053476352,0.031758847,15.834229,0.1527795
6960404587417890816,0.0327098289999981,9.9196537,0.154469
6879279322478866432,0.0331715969999777,20.890101,0.1471576
844473895896508416,0.033695866,14.546033,0.1054557
6879287019060260864,0.0343231130000277,20.514972,0.1105547
6879271625897472000,0.0343552179999733,19.963542,0.1186427
1732894421302667264,0.035344999,0.76578099,0.08131805
844473621018601472,0.035761282,14.51647,0.1428275
6946954262514167808,0.0361848140000234,20.51752,0.08829134
6950328113910444032,0.0373740389999853,17.894482,0.1011948
1676586782382123008,0.037404,1.239931,0.09534095
844558558291847168,0.037610126,15.437331,0.1726757
1732896070570108928,0.038504999,0.499461,0.08135861
6950326464643002368,0.0396421749999831,18.059094,0.04475661
844471696873252864,0.039813213,14.243354,0.09270928
844451081030232064,0.040185338,14.095226,0.1376808
6950307223189516288,0.0414809220000052,17.085884,0.08377419
435857159536797696,0.042175325,0.63428133,0.05408107
1732907340564293632,0.042240001,0.98078603,0.08249932
6954788558209740800,0.0429112759999839,13.804894,0.09498952
5106146391358107648,0.0435530529999824,7.5463863,0.1358044
7330762440722542592,0.0459897950000254,27.448826,0.1135331
844549487320918016,0.046250242,15.703552,0.1501477
6898398180334563328,0.0473128749999887,19.308878,0.09021833
1732893046913132544,0.047437001,0.68944699,0.1029504
435846714176333824,0.048377367,1.0307008,0.1023905
4815718635279151104,0.048909999999978,4.0107967,0.1136722
6949149437965561856,0.049009070000011,15.511642,5.748346E-05
6954792681378344960,0.0496635279999964,14.090008,0.1039548
771357746502068224,0.049964133,1.1217477,0.02429344
4815715061866360832,0.0506500000000187,4.489173,0.0001389052
4815514675872198656,0.052189999999996,3.6387258,0.08729575
6960411184487657472,0.0523831159999872,10.635092,0.1678397
1732898269593364480,0.053089,0.77926803,0.07998801
5106047985067421696,0.0531661059999919,7.0984815,0.1292163
435848363443775488,0.053317203,1.1201948,0.02467319
1228489063326050304,0.054129,0.665234,0.08466689
771371490397415424,0.054141349,0.23467845,6.417686E-05
6954863599878336512,0.0544082440000011,14.22166,0.09235733
844548387809290240,0.054708869,15.881656,0.1517734
844470597361625088,0.054978039,14.59171,0.09149144
7745184316133142528,0.055607316000021,22.53429,0.07215544
3156000316499978240,0.056686,29.37872,4.666606E-05
4815715336744267776,0.0573800000000233,4.4606024,0.09430516
435856060025169920,0.057732072,0.65339894,0.1034065
844450531274418176,0.06022087,14.211614,0.09138043
6925432147453603840,0.0607162320000043,12.603564,0.1699418
435859083682146304,0.061533969,0.67453863,0.08175662
844571202675566592,0.06219339,15.728507,0.142223
6898395431555493888,0.0634194080000157,18.998242,0.09576967
3177374273140451328,0.066335,24.353236,5.971953E-07
7745177719063375872,0.0666816190000077,21.78624,0.08309282
844472246629066752,0.067807095,14.733137,0.09115254
3156010486982535168,0.068611,29.129767,4.68881E-05
3153737520949258240,0.068741,25.654379,8.215847E-05
4971003767434178560,0.0693638710000073,5.5580326,0.03769468
844572851943008256,0.06984881,15.694496,0.111791
3155967331151144960,0.070187,27.296945,7.407518E-05
844559108047661056,0.070408845,15.035578,0.1235566
1732902117884061696,0.070828997,0.61364597,0.1038485
844559657803474944,0.073479917,15.431381,0.1530558
6949150262599282688,0.0763754769999991,15.696449,0.149984
